date,location,total_cases
09/05/2020,South Africa,9420
09/05/2020,India,62808
10/05/2020,China,82918
10/05/2020,Chile,33855
10/05/2020,Australia,6948
10/05/2020,Egypt,9400
10/05/2020,United Kingdom,211186
10/05/2020,United States,1332305
10/05/2020,Hungary,3263
10/05/2020,Japan,15824
10/05/2020,Greenland,11
10/05/2020,South Africa,10015
10/05/2020,India,67161
11/05/2020,China,82919
11/05/2020,Chile,35052
11/05/2020,Australia,6970
11/05/2020,Egypt,9746
11/05/2020,United Kingdom,214769
11/05/2020,United States,1351357
11/05/2020,Hungary,3284
11/05/2020,Japan,15861
11/05/2020,Greenland,11
11/05/2020,South Africa,10652
11/05/2020,India,70768
12/05/2020,China,82926
12/05/2020,Chile,36710
12/05/2020,Australia,6980
12/05/2020,Egypt,10093
12/05/2020,United Kingdom,218161
12/05/2020,United States,1374717
12/05/2020,Hungary,3313
12/05/2020,Japan,15948
12/05/2020,Greenland,11
12/05/2020,South Africa,11350
12/05/2020,India,74292
13/05/2020,China,82929
13/05/2020,Chile,39370
13/05/2020,Australia,6989
13/05/2020,Egypt,10431
13/05/2020,United Kingdom,221459
13/05/2020,United States,1394741
13/05/2020,Hungary,3341
13/05/2020,Japan,15998
